video_id,title,channel,view_count,like_count,comment,author,reply_to,comment_likes,published_at,clean_comment,clean_title,video_label,tokens,token_count
iRCrg2EGfnU,I DESTROYED These “Doctors” Who Tried to Debunk the Carnivore Diet,FaceIQ,51541,1484,"@MotivationLearner it doesn't make sense why would you not want fiber, water and compounds that heavily target inflammation when inflammation is the biggest risk factor in longevity?",@jacobshears-g2e,@jacobshears-g2e,0,2025-10-10T09:31:28Z,motivationlearner it doesnt make sense why would you not want fiber water and compounds that heavily target inflammation when inflammation is the biggest risk factor in longevity,i destroyed these doctors who tried to debunk the carnivore diet,doctor,"['motivationlearner', 'doesnt', 'make', 'sense', 'want', 'fiber', 'water', 'compounds', 'heavily', 'target', 'inflammation', 'inflammation', 'biggest', 'risk', 'factor', 'longevity']",16
nOgg-_vav_8,"Food Theory: Liver King, The RAW Truth! (Carnivore Diet)",The Food Theorists,5965267,161185,"It's likely you could eat it raw too, but unlikely considering sushi exists",@Mikethefallenlegend,,0,2026-01-27T23:30:05Z,its likely you could eat it raw too but unlikely considering sushi exists,food theory liver king the raw truth carnivore diet,influencer,"['likely', 'eat', 'raw', 'unlikely', 'considering', 'sushi', 'exists']",7
P-6q1PXEH-g,The Worst TikTok Carnivore Yet,AugustTheDuck,1737670,52554,I miss that duck,@qdz_z,,0,2025-10-21T14:55:00Z,i miss that duck,the worst tiktok carnivore yet,influencer,"['miss', 'duck']",2
a956CdkbnDk,Are Doctor Influencers POISONING Medicine? | Neurosurgeon vs Doctor Dropout,"Kevin Jubbal, M.D.",106982,3282,"This has been the comment I was looking for, this is exacly what Dr Glaucomflecken is talking about",@你是杰瑞吗,@Smart_Chick_,8,2023-04-19T07:54:33Z,this has been the comment i was looking for this is exacly what dr glaucomflecken is talking about,are doctor influencers poisoning medicine neurosurgeon vs doctor dropout,doctor,"['looking', 'exacly', 'dr', 'glaucomflecken', 'talking']",5
JslBDMGC9Xw,Real Doctor Reacts to DOC MCSTUFFINS,Doctor Mike,12973459,389433,This was just waaaay to cute😭❤,@Blameless10111,,1,2025-10-29T18:11:21Z,this was just waaaay to cute,real doctor reacts to doc mcstuffins,doctor,"['waaaay', 'cute']",2
e4uIyFLUxyw,Doctor Reacts To Ridiculous 5-Minute Crafts Videos,Doctor Mike,23671197,453411,That face in 3:24,@AaminaSufi,,0,2026-04-04T23:33:54Z,that face in,doctor reacts to ridiculous minute crafts videos,doctor,['face'],1
RWAKbg_CF_E,How “Health Gurus” Trick You ft Gary Brecka,Doctor Mike,1349877,50563,"And by the way, Dr. Mike, you list alcohol as a trigger for headaches (different from the ones supported by Brecka, in your attempt to prove he's wrong), but you conveniently forget to mention that the standard treatment in hospitals is exactly sodium/electrolytes (saline IV drips), which indirectly validates Brecka's point about low sodium being a factor.
Just a random example that jumped out at me, but there are probably many others.
Could this be manipulation? Could you, Dr. Mike, possibly be in the pocket of the medical industry that pushes a narrative down everyone's throat so people don't dare try better solutions and remain lifelong customers of mainstream medications that cure nothing and just keep you dependent so you can 'function'?
I don't know... maybe yes, maybe no... let everyone use the brain in their head to decide for themselves.",@arianajordan,@arianajordan,0,2026-02-08T04:48:27Z,and by the way dr mike you list alcohol as a trigger for headaches different from the ones supported by brecka in your attempt to prove hes wrong but you conveniently forget to mention that the standard treatment in hospitals is exactly sodiumelectrolytes saline iv drips which indirectly validates breckas point about low sodium being a factor just a random example that jumped out at me but there are probably many others could this be manipulation could you dr mike possibly be in the pocket of the medical industry that pushes a narrative down everyones throat so people dont dare try better solutions and remain lifelong customers of mainstream medications that cure nothing and just keep you dependent so you can function i dont know maybe yes maybe no let everyone use the brain in their head to decide for themselves,how health gurus trick you ft gary brecka,both,"['way', 'dr', 'mike', 'list', 'alcohol', 'trigger', 'headaches', 'different', 'ones', 'supported', 'brecka', 'attempt', 'prove', 'hes', 'wrong', 'conveniently', 'forget', 'mention', 'standard', 'treatment', 'hospitals', 'exactly', 'sodiumelectrolytes', 'saline', 'iv', 'drips', 'indirectly', 'validates', 'breckas', 'point', 'low', 'sodium', 'factor', 'random', 'example', 'jumped', 'probably', 'many', 'others', 'manipulation', 'dr', 'mike', 'possibly', 'pocket', 'medical', 'industry', 'pushes', 'narrative', 'everyones', 'throat', 'dont', 'dare', 'try', 'better', 'solutions', 'remain', 'lifelong', 'customers', 'mainstream', 'medications', 'cure', 'nothing', 'keep', 'dependent', 'function', 'dont', 'maybe', 'yes', 'maybe', 'let', 'everyone', 'use', 'brain', 'head', 'decide']",75
nOgg-_vav_8,"Food Theory: Liver King, The RAW Truth! (Carnivore Diet)",The Food Theorists,5965267,161185,10:44 greg,@Budder_is_cool,,0,2025-08-12T14:20:58Z,greg,food theory liver king the raw truth carnivore diet,influencer,['greg'],1
RjBpLeBzkng,Debunking HPV Myths,CBS News,656785,3958,Young Christopher Jones Linda White Anna,@포화-f8e,,0,2024-09-14T04:48:48Z,young christopher jones linda white anna,debunking hpv myths,doctor,"['young', 'christopher', 'jones', 'linda', 'white', 'anna']",6
zBC68iQjH-k,Doctor Reacts To Cringey Dhar Mann Videos,Doctor Mike,16271610,319001,Bro litterally just spitting out facts here,@thestrawberryjellycat,,0,2026-01-07T19:40:06Z,bro litterally just spitting out facts here,doctor reacts to cringey dhar mann videos,doctor,"['bro', 'litterally', 'spitting', 'facts']",4
2DVcs9kP97s,Scientist debunks: The worst skincare misinformation on TikTok,Lab Muffin Beauty Science,542411,26370,I am curious what your thoughts are on this.,@lynette3021,@lynette3021,0,2025-09-20T06:08:00Z,i am curious what your thoughts are on this,scientist debunks the worst skincare misinformation on tiktok,doctor,"['curious', 'thoughts']",2
C1wlED01hvY,Doctor Reacts To Extreme Medical Conditions,Doctor Mike,11372829,167022,bro is so brain rotted that he can’t spell properly🥀,@arandompoleontheinternet,@TheCalmGuy_Playz,0,2025-10-01T11:00:31Z,bro is so brain rotted that he cant spell properly,doctor reacts to extreme medical conditions,doctor,"['bro', 'brain', 'rotted', 'cant', 'spell', 'properly']",6
NErfR6OW7m8,Debunking the worst haircare advice on TikTok,Lab Muffin Beauty Science,1296082,50700,The ego on doctors is insane! Yet they rely on so many other people ahead of them its insane!,@MrAnderson2845,,0,2026-05-05T00:52:23Z,the ego on doctors is insane yet they rely on so many other people ahead of them its insane,debunking the worst haircare advice on tiktok,doctor,"['ego', 'insane', 'yet', 'rely', 'many', 'ahead', 'insane']",7
eGPLf4TZv0g,Doctor Reacts To Bizarre Health &quot;Hack&quot; Videos,Doctor Mike,12940800,299646,"When you feel a sneeze coming on, dont try to ""ignite the sneeze"" it will make you lose it.

Edit: the sneeze I mean",@Phatkitty2191,,0,2025-09-15T21:06:14Z,when you feel a sneeze coming on dont try to ignite the sneeze it will make you lose it edit the sneeze i mean,doctor reacts to bizarre health quothackquot videos,doctor,"['feel', 'sneeze', 'coming', 'dont', 'try', 'ignite', 'sneeze', 'make', 'lose', 'edit', 'sneeze', 'mean']",12
gKvlB-n59og,NUTRITION TRUTHS That Wellness Influencers ❌ DON&#39;T ❌ Want You to Know,Abbey Sharp,217965,8778,For real,@StephanieBogart,@alyssacoffey1760,1,2024-01-19T19:58:58Z,for real,nutrition truths that wellness influencers dont want you to know,influencer,['real'],1
Eb4-MOubIyM,Gynecologist Debunks Viral Birth Control LIES,Mama Doctor Jones,596173,27513,I can't use them because of the warnings on the packaging. Going by those they could kill me.,@Ousseaghymn,,1,2024-05-29T04:27:49Z,i cant use them because of the warnings on the packaging going by those they could kill me,gynecologist debunks viral birth control lies,doctor,"['cant', 'use', 'warnings', 'packaging', 'kill']",5
HbUo1bmEUg4,Here&#39;s Why Doctor&#39;s NEVER Drink Detox Tea,Doctor Mike,1250824,63113,"Lol “medical ethics“?? Laugh my ass off! No, you’re not selling the stuff because of medical ethics you’re not selling it because you make much more off of the pharmaceutical companies. Downing natural remedies in Louis pharmaceutical bullshit. Yeah… Doctors are all paid for by the pharmaceutical company and I haven’t taken the pharmaceutical drug in 20 years and I’m not gonna start and I’m insanely healthy. Doctors are the third leading cause of death in America. No thank you. This is a snake oil salesman.",@RoamingREDonFIRE,,0,2025-08-03T17:48:04Z,lol medical ethics laugh my ass off no youre not selling the stuff because of medical ethics youre not selling it because you make much more off of the pharmaceutical companies downing natural remedies in louis pharmaceutical bullshit yeah doctors are all paid for by the pharmaceutical company and i havent taken the pharmaceutical drug in years and im not gonna start and im insanely healthy doctors are the third leading cause of death in america no thank you this is a snake oil salesman,heres why doctors never drink detox tea,both,"['lol', 'medical', 'ethics', 'laugh', 'ass', 'youre', 'selling', 'stuff', 'medical', 'ethics', 'youre', 'selling', 'make', 'much', 'pharmaceutical', 'companies', 'downing', 'natural', 'remedies', 'louis', 'pharmaceutical', 'bullshit', 'yeah', 'paid', 'pharmaceutical', 'company', 'havent', 'taken', 'pharmaceutical', 'drug', 'years', 'im', 'gonna', 'start', 'im', 'insanely', 'healthy', 'third', 'leading', 'cause', 'death', 'america', 'thank', 'snake', 'oil', 'salesman']",46
7hrKm9STHw0,The WORST 5-Minute Crafts “Health Hacks”,Doctor Mike,15634408,279885,WE NEED MORE 5 -MINUTE CRAFTS REACTION VIDEOS!!!! 😂😂😂,@anitatoperczer3051,,0,2025-12-22T19:35:12Z,we need more minute crafts reaction videos,the worst minute crafts health hacks,doctor,"['need', 'minute', 'crafts', 'reaction', 'videos']",5
rmx6kXSkujo,Doctor Fact-Checks Grandma’s Medical Advice,Doctor Mike,9919018,222931,5:43 I'm definitely not watching this with my phone 6 inches away from my eyes😅,@7venty7even,,0,2025-07-20T05:11:07Z,im definitely not watching this with my phone inches away from my eyes,doctor factchecks grandmas medical advice,doctor,"['im', 'definitely', 'watching', 'phone', 'inches', 'away', 'eyes']",7
P-6q1PXEH-g,The Worst TikTok Carnivore Yet,AugustTheDuck,1737670,52554,@ms22366 Im actually made of fingernails (which are after dark),@fingernailafterdark,@fingernailafterdark,0,2025-07-24T04:34:01Z,ms im actually made of fingernails which are after dark,the worst tiktok carnivore yet,influencer,"['ms', 'im', 'made', 'fingernails', 'dark']",5
HbUo1bmEUg4,Here&#39;s Why Doctor&#39;s NEVER Drink Detox Tea,Doctor Mike,1250824,63113,"A good amount of my family members got behind the whole foot pad detox trend. When I showed them that at the end of the day their sweaty foot pad got less dark than a foot pad that I poured clean water on, they actually started to figure it out. This is some of the most basic information about your kidneys and livers you would learn in an anatomy class.",@waspwrap1235,@johndavidson5921,0,2025-02-26T01:56:29Z,a good amount of my family members got behind the whole foot pad detox trend when i showed them that at the end of the day their sweaty foot pad got less dark than a foot pad that i poured clean water on they actually started to figure it out this is some of the most basic information about your kidneys and livers you would learn in an anatomy class,heres why doctors never drink detox tea,both,"['good', 'amount', 'family', 'members', 'behind', 'whole', 'foot', 'pad', 'detox', 'trend', 'showed', 'end', 'day', 'sweaty', 'foot', 'pad', 'less', 'dark', 'foot', 'pad', 'poured', 'clean', 'water', 'started', 'figure', 'basic', 'information', 'kidneys', 'livers', 'learn', 'anatomy', 'class']",32
FPy4ABZ804c,Ridiculously Absurd 5-Minute Crafts “Health Hacks”,Doctor Mike,21798210,305706,Look at the text it tells you don't use it if you have a certain medical condition go to a practitioner for that,@MariaOrtiz-jd9hh,,0,2026-03-14T17:36:34Z,look at the text it tells you dont use it if you have a certain medical condition go to a practitioner for that,ridiculously absurd minute crafts health hacks,doctor,"['look', 'text', 'tells', 'dont', 'use', 'certain', 'medical', 'condition', 'go', 'practitioner']",10
q8FuCE2kWHo,Dieta Carnívora: A Verdade Científica que os Influencers Escondem,Endócrino e talks com Dr. Carlos Seraphim,37399,4157,Excelente conteúdo!!! Esclarecedor!,@cyberbusca2009,,0,2026-01-07T16:42:17Z,excelente contedo esclarecedor,dieta carnvora a verdade cientfica que os influencers escondem,both,"['excelente', 'contedo', 'esclarecedor']",3
m4stVVsKVRA,Doctor and Lawyer React To Grey’s Anatomy Malpractice Episode,Doctor Mike,14905060,305666,"10:40 Even if you were in his mind, he could easily have a foggy recollection",@JordanBeagle,,3,2025-07-12T12:52:53Z,even if you were in his mind he could easily have a foggy recollection,doctor and lawyer react to greys anatomy malpractice episode,doctor,"['mind', 'easily', 'foggy', 'recollection']",4
Fu3dOT9aP3E,Doctor Reacts To Cartoon Network Medical Scenes,Doctor Mike,10872484,184793,putting ed edd and eddy right after steven universe feels like a crime😭😭😭✌️,@tommyaweosme,,1,2026-03-29T18:25:26Z,putting ed edd and eddy right after steven universe feels like a crime,doctor reacts to cartoon network medical scenes,doctor,"['putting', 'ed', 'edd', 'eddy', 'right', 'steven', 'universe', 'feels', 'crime']",9
C1wlED01hvY,Doctor Reacts To Extreme Medical Conditions,Doctor Mike,11372829,167022,My sister is missing a part of her brain so she can’t talk walk text or write and the doctors and surgeons said that she would live to be 10but she is 14 right now.,@michellelacerda8856,,0,2026-05-24T00:03:04Z,my sister is missing a part of her brain so she cant talk walk text or write and the doctors and surgeons said that she would live to be but she is right now,doctor reacts to extreme medical conditions,doctor,"['sister', 'missing', 'part', 'brain', 'cant', 'talk', 'walk', 'text', 'write', 'surgeons', 'live', 'right']",12
NY4W7PY3OBY,Doctor Reacts to HILARIOUS TikToks,Doctor Mike,13628710,354175,"1:58 Doctor:African American Joey Tribiani doesn't exist he can't hurt you

My man in question :",@cebollo280,,0,2024-08-07T14:57:26Z,doctorafrican american joey tribiani doesnt exist he cant hurt you my man in question,doctor reacts to hilarious tiktoks,doctor,"['doctorafrican', 'american', 'joey', 'tribiani', 'doesnt', 'exist', 'cant', 'hurt', 'man', 'question']",10
_Alg1tjXiIs,Unhinged Wellness Influencers.. Insane Health advice!,Isabella Lanter,193321,7684,I love and appreciate your common sense. We need more of it in this effed-up world.,@stephaniehuthmacher4214,,1,2025-03-21T20:15:42Z,i love and appreciate your common sense we need more of it in this effedup world,unhinged wellness influencers insane health advice,influencer,"['love', 'appreciate', 'common', 'sense', 'need', 'effedup', 'world']",7
TroGENGRsNk,Doctor Reacts To The Most Extreme Diets | Freaky Eaters,Doctor Mike,16748333,298959,With the person who created ad blockers,@lgarebetter5067,,0,2026-02-20T17:03:39Z,with the person who created ad blockers,doctor reacts to the most extreme diets freaky eaters,doctor,"['person', 'created', 'ad', 'blockers']",4
gj4RJHq52Bk,“Influencers” don’t understand “raw milk”,Kyle Hill,491662,36880,Nirvana Fallacy. People have been using arsenic as medicine for millenia. Go take some.,@sithwolf8017,@johbowfor,2,2025-12-26T01:06:05Z,nirvana fallacy people have been using arsenic as medicine for millenia go take some,influencers dont understand raw milk,influencer,"['nirvana', 'fallacy', 'using', 'arsenic', 'medicine', 'millenia', 'go', 'take']",8
URN9G4Pljzk,STOP LISTENING TO WELLNESS INFLUENCERS OR AFFILIATE MARKETERS for medical advice. Pharmacist Reviews,"Dr. Ethan Melillo, PharmD",255517,15384,Mic drop!!,@k.e.M_,,1,2026-01-11T18:05:21Z,mic drop,stop listening to wellness influencers or affiliate marketers for medical advice pharmacist reviews,both,"['mic', 'drop']",2
P-6q1PXEH-g,The Worst TikTok Carnivore Yet,AugustTheDuck,1737670,52554,"Either way, a complete lack of anything else, specifically any carbohydrates will kill your testosterone by starving your body of enough of those specific nutrients and minerals, sugars and will tank testosterone production on a meat only diet, because you already know that theyre eating almost exclusively meat, and low testosterone will cause both a higher odor detection threshold and hyposmia, plus a reduced ability to correctly identify smells from recollection progressively the longer you go without it.",@GabrielPerdue-e4e,@GabrielPerdue-e4e,0,2025-12-29T02:36:17Z,either way a complete lack of anything else specifically any carbohydrates will kill your testosterone by starving your body of enough of those specific nutrients and minerals sugars and will tank testosterone production on a meat only diet because you already know that theyre eating almost exclusively meat and low testosterone will cause both a higher odor detection threshold and hyposmia plus a reduced ability to correctly identify smells from recollection progressively the longer you go without it,the worst tiktok carnivore yet,influencer,"['either', 'way', 'complete', 'lack', 'anything', 'else', 'specifically', 'carbohydrates', 'kill', 'testosterone', 'starving', 'body', 'enough', 'specific', 'nutrients', 'minerals', 'sugars', 'tank', 'testosterone', 'production', 'meat', 'diet', 'already', 'theyre', 'eating', 'almost', 'exclusively', 'meat', 'low', 'testosterone', 'cause', 'higher', 'odor', 'detection', 'threshold', 'hyposmia', 'plus', 'reduced', 'ability', 'correctly', 'identify', 'smells', 'recollection', 'progressively', 'longer', 'go', 'without']",47
IVGQLxCjudM,Gallbladder Flush - The true science behind the myth,Doctor Klaper,239163,5622,"Hi, so just oil and lemon juice? I thought they said epsom salt?",@brotherEbenezer,@fabriciorodriguez5788,0,2025-05-18T19:44:12Z,hi so just oil and lemon juice i thought they said epsom salt,gallbladder flush the true science behind the myth,doctor,"['hi', 'oil', 'lemon', 'juice', 'thought', 'epsom', 'salt']",7
